column1,id,actual_price,average_rating,brand,category,discount,out_of_stock,seller,selling_price,sub_category
17740,7fe79e12-37d3-5b32-8118-1d8d01eb3e1c,849,4.5,Black Beat,Footwear,63,FALSE,Black Beatle,308,Men's Footwear
10309,7fe9c54c-4648-5136-83cf-598013339fe8,1599,3,Gracew,Clothing and Accessories,78,FALSE,GRACEWAY,349,Clothing Accessories
23043,7feb0d70-d6b7-5a6a-9685-def21410d83b,998,3.099999905,ARBO,Clothing and Accessories,44,FALSE,ARBOR,549,Winter Wear
18368,7feb3936-48dc-5ee0-b2d6-3e01049230c2,1949,3.799999952,Mountain colou,Clothing and Accessories,63,FALSE,MountainColours,709,Bottomwear
12626,7fec3a10-9fa6-5cc3-947e-80e8811dd6a6,1099,2.5,ECKO Unl,Clothing and Accessories,33,FALSE,SandSMarketing,736,Topwear
17249,7fecd08e-69af-5cd7-a5cb-e8b045516579,1599,4.400000095,CANTAB,Clothing and Accessories,50,FALSE,CANTABIL RETAIL,799,Topwear
6014,7ff05ea1-18cd-5b3f-89b0-0ac6ce09d029,1799,4.099999905,M7 By Metrona,Clothing and Accessories,60,FALSE,RetailNet,702,Winter Wear
19223,7ff2fbe0-dd58-5b4b-9d13-e825c661d772,1590,3.200000048,yellowvib,Clothing and Accessories,52,FALSE,AMALGUS ENTERPRISE,750,Topwear
228,7ff7b797-2c82-5e0e-adde-a9e8b5741942,899,3.900000095,DISCOUNT OUTL,Clothing and Accessories,44,FALSE,S P TRADERS,499,Topwear
1616,7ff82243-409c-5073-982b-c2515f00ba0f,499,3.599999905,REEB,Clothing and Accessories,71,FALSE,INDIA STORE PVT LTD,140,Clothing Accessories
23374,7ff86eee-b30e-5c2e-8e90-be1f3eccb2cc,529,4.099999905,ARBO,Clothing and Accessories,19,FALSE,ARBOR,426,Topwear
28208,7ff958dc-fa39-5b10-b3b9-f83a14bcfa01,1299,4.099999905,Tees Collecti,Clothing and Accessories,80,FALSE,TC001,249,Topwear
23795,7ffac533-18cb-5cd0-a364-3c066db531f3,600,4.199999809,Footprin,Clothing and Accessories,40,FALSE,GreenWudOrganiClothi,359,Clothing Accessories
23798,7ffff947-15b3-5202-8b1f-e4b6ce262943,960,4.5,Footprin,Clothing and Accessories,55,FALSE,GreenWudOrganiClothi,429,Clothing Accessories
10039,8000d18b-dad8-5a35-8e81-38b5a46dcf5d,1799,1.700000048,Breakboun,Clothing and Accessories,30,FALSE,RetailNet,1259,Winter Wear
20522,80017cd9-1f9b-53fd-b56e-86486b7a7871,560,3.599999905,FLEXIM,Clothing and Accessories,25,FALSE,Flexikaart,420,Topwear
18571,8007abb7-06bc-579e-a005-cbaea063bf7d,699,2.400000095,Rose We,Clothing and Accessories,69,FALSE,Rupalcollectionjaipur,215,Topwear
10791,80091205-4078-5510-aef6-119821033f7b,999,4,True Bl,Clothing and Accessories,60,FALSE,KAPSONSRETAILPVTLTD,399,Topwear
10132,800beede-54c5-5de3-ab40-3ffbe56903b9,649,2.799999952,Breakboun,Clothing and Accessories,50,FALSE,BREAKBOUNCE,324,Topwear
26396,800c8bcf-03d5-59d8-aab9-589124d5d42f,899,4.099999905,ATHL,Clothing and Accessories,76,FALSE,ATHLIV,209,Topwear
28312,800dd58c-3cf4-578d-867d-c2e2f0fe6e74,1499,3.200000048,vims rai,Clothing and Accessories,76,FALSE,WHITE SKY,359,Fabrics
15660,800f36fd-c96e-5f21-b234-bc83e803ebab,1199,4.099999905,Byford by Pantaloo,Clothing and Accessories,25,FALSE,AUM3ETAIL,899,Topwear
25205,8018272f-65fe-528a-9f3a-03ceb0b2833b,999,3.900000095,Free Authori,Clothing and Accessories,40,FALSE,BioworldMerchandising,599,Topwear
13548,802201c2-0b5b-5198-be56-4e5b6ab9b89e,1899,3.400000095,Amp,Clothing and Accessories,61,FALSE,AFFGARMENTS,725,Topwear
6015,80221c72-d88f-5a84-98a1-fa03e814ffae,1099,4.099999905,M7 By Metrona,Clothing and Accessories,65,FALSE,RetailNet,384,Topwear
18960,8023430b-fcb2-5634-b808-e68f4cba035a,4590,3.900000095,Sherr,Clothing and Accessories,60,FALSE,Sherrys,1804,Bottomwear
26787,802853c3-45a4-5e4a-8e4d-888bd9005ed3,1299,4.599999905,TOM BU,Clothing and Accessories,46,FALSE,TOMBURG,699,Topwear
28408,802c3f48-6980-5da6-996b-e6b2f4caa712,1499,3.599999905,vims rai,Clothing and Accessories,73,FALSE,MAHIR ENETERPRISE,396,Fabrics
